"file","spp_name","file_binomial","aou","english_common_name","family","genus","species","binomial","old_genus","new_binomial","matched_filename","species_code","overlap","range_excl"
"Aphelocoma_insularis_22705617.shp","Aphelocoma_insularis","Aphelocoma insularis",4811,"Island Scrub-Jay","Corvidae","Aphelocoma","insularis","Aphelocoma insularis",NA,NA,"Aphelocoma_insularis",NA,0,NA
"Aphelocoma_californica_22705623.shp","Aphelocoma_californica","Aphelocoma californica",4812,"California Scrub-Jay","Corvidae","Aphelocoma","californica","Aphelocoma californica",NA,NA,"Aphelocoma_californica",NA,25,0.892241379310345
"Aphelocoma_wollweberi_22724967.shp","Aphelocoma_wollweberi","Aphelocoma wollweberi",4820,"Mexican Jay","Corvidae","Aphelocoma","wollweberi","Aphelocoma wollweberi",NA,NA,"Aphelocoma_wollweberi",NA,3,0.936170212765957
"Nucifraga_columbiana_22705909.shp","Nucifraga_columbiana","Nucifraga columbiana",4910,"Clark's Nutcracker","Corvidae","Nucifraga","columbiana","Nucifraga columbiana",NA,NA,"Nucifraga_columbiana",NA,29,0.886274509803922
"Pica_nuttalli_22705874.shp","Pica_nuttalli","Pica nuttalli",4760,"Yellow-billed Magpie","Corvidae","Pica","nuttalli","Pica nuttalli",NA,NA,"Pica_nuttalli","yebmag",1,0.857142857142857
"Corvus_brachyrhynchos_22705990.shp","Corvus_brachyrhynchos","Corvus brachyrhynchos",4880,"American Crow","Corvidae","Corvus","brachyrhynchos","Corvus brachyrhynchos",NA,NA,"Corvus_brachyrhynchos","amecro",631,0.692044899951196
"Corvus_caurinus_22705986.shp","Corvus_caurinus","Corvus caurinus",4890,"Northwestern Crow","Corvidae","Corvus","caurinus","Corvus caurinus",NA,NA,"Corvus_caurinus","norcro",3,0.947368421052632
"Corvus_ossifragus_22705993.shp","Corvus_ossifragus","Corvus ossifragus",4900,"Fish Crow","Corvidae","Corvus","ossifragus","Corvus ossifragus",NA,NA,"Corvus_ossifragus","fiscro",62,0.36734693877551
"Corvus_cryptoleucus_22706055.shp","Corvus_cryptoleucus","Corvus cryptoleucus",4870,"Chihuahuan Raven","Corvidae","Corvus","cryptoleucus","Corvus cryptoleucus",NA,NA,"Corvus_cryptoleucus","chirav",30,0.868421052631579
"Corvus_corax_22706068.shp","Corvus_corax","Corvus corax",4860,"Common Raven","Corvidae","Corvus","corax","Corvus corax",NA,NA,"Corvus_corax","comrav",282,0.983773519765234
"Eremophila_alpestris_22717434.shp","Eremophila_alpestris","Eremophila alpestris",4740,"Horned Lark","Alaudidae","Eremophila","alpestris","Eremophila alpestris",NA,NA,"Eremophila_alpestris","horlar",878,0.918317983068192
"Progne_subis_22712098.shp","Progne_subis","Progne subis",6110,"Purple Martin","Hirundinidae","Progne","subis","Progne subis",NA,NA,"Progne_subis","purmar",279,0.542622950819672
"Tachycineta_bicolor_22712057.shp","Tachycineta_bicolor","Tachycineta bicolor",6140,"Tree Swallow","Hirundinidae","Tachycineta","bicolor","Tachycineta bicolor",NA,NA,"Tachycineta_bicolor","treswa",238,0.850314465408805
