"file","spp_name","file_binomial","aou","english_common_name","family","genus","species","binomial","old_genus","new_binomial","matched_filename","species_code","climate_vol","ssi","shannonE_diet","mean_area","mean_occ","sd_area","sd_occ","Trend","ci95","area_wt","occ_wt","trend_wt","phylo_name"
"Vermivora_chrysoptera_22721618.shp","Vermivora_chrysoptera","Vermivora chrysoptera",6420,"Golden-winged Warbler","Parulidae","Vermivora","chrysoptera","Vermivora chrysoptera",NA,NA,"Vermivora_chrysoptera","gowwar",0.175486827843669,-1.8675431430605,0,-0.669593025514615,-0.0110990291262136,0.116757487498569,0.00450473226166652,-2.574,1.447,0.228844675497195,0.00882927523286638,1.447,"Vermivora_chrysoptera"
"Vermivora_cyanoptera_22721610.shp","Vermivora_cyanoptera","Vermivora cyanoptera",6410,"Blue-winged Warbler","Parulidae","Vermivora","cyanoptera","Vermivora cyanoptera",NA,NA,"Vermivora_cyanoptera","buwwar",0.14646127467959,-1.87818006566662,0,-0.00433873704780637,-0.00501932485396817,0.0902475339822972,0.00465096532013019,-1.114,1.079,0.176885166605303,0.00911589202745517,1.079,"Vermivora_pinus"
"Protonotaria_citrea_22721765.shp","Protonotaria_citrea","Protonotaria citrea",6370,"Prothonotary Warbler","Parulidae","Protonotaria","citrea","Protonotaria citrea",NA,NA,"Protonotaria_citrea","prowar",0.234132714674832,-1.43020358553626,0.40843137199002,0.0781314625603163,-0.0502659279778393,0.174109293109423,0.00627222783721777,-1.108,0.831,0.34125421449447,0.0122935665609468,0.831,"Protonotaria_citrea"
"Limnothlypis_swainsonii_22721776.shp","Limnothlypis_swainsonii","Limnothlypis swainsonii",6380,"Swainson's Warbler","Parulidae","Limnothlypis","swainsonii","Limnothlypis swainsonii",NA,NA,"Limnothlypis_swainsonii","swawar",0.188826063529508,-1.65623030253202,0.141181741504608,2.94453768867861,0.0219098410565436,1.61662379736986,0.00786989444357492,2.212,1.739,3.16858264284493,0.0154249931094068,1.739,"Limnothlypis_swainsonii"
"Vermivora_celata_22721624.shp","Vermivora_celata","Vermivora celata",6460,"Orange-crowned Warbler","Parulidae","Oreothlypis","celata","Oreothlypis celata","Vermivora","Vermivora celata","Vermivora_celata","orcwar",0.962912112356911,-0.89537724940425,0.348225372857224,0.149739461222996,-0.00232532347504621,0.377632084133078,0.000462333113893074,-1.201,1.06,0.740158884900832,0.000906172903230425,1.06,"Vermivora_celata"
"Vermivora_ruficapilla_22721627.shp","Vermivora_ruficapilla","Vermivora ruficapilla",6450,"Nashville Warbler","Parulidae","Oreothlypis","ruficapilla","Oreothlypis ruficapilla","Vermivora","Vermivora ruficapilla","Vermivora_ruficapilla","naswar",0.50009998338185,-1.33390054593157,0.277528010406445,0.0971303172735816,-0.00301161194443395,0.0648539540739011,0.00126963645837865,-0.108,1.207,0.127113749984846,0.00248848745842216,1.207,"Vermivora_ruficapilla"
"Wilsonia_citrina_22721876.shp","Wilsonia_citrina","Wilsonia citrina",6840,"Hooded Warbler","Parulidae","Setophaga","citrina","Setophaga citrina","Wilsonia","Wilsonia citrina","Wilsonia_citrina","hoowar",0.30566597404421,-1.51065971282924,0,0.0710622669052692,0.0476298701298701,0.119648835781739,0.00929586618676338,1.356,0.799,0.234511718132208,0.0182198977260562,0.799,"Wilsonia_citrina"
"Dendroica_tigrina_22721670.shp","Dendroica_tigrina","Dendroica tigrina",6500,"Cape May Warbler","Parulidae","Setophaga","tigrina","Setophaga tigrina","Dendroica","Dendroica tigrina","Dendroica_tigrina","camwar",0.136951076823097,-1.48295177574931,0.412697251504221,0.394990318761435,-0.00185851042900616,1.30797233612051,0.00104611788174139,-1.12,3.648,2.56362577879621,0.00205039104821312,3.648,"Dendroica_tigrina"
"Dendroica_cerulea_22721740.shp","Dendroica_cerulea","Dendroica cerulea",6580,"Cerulean Warbler","Parulidae","Setophaga","cerulea","Setophaga cerulea","Dendroica","Dendroica cerulea","Dendroica_cerulea","cerwar",0.170274866602817,-2.44256395867294,0.141181741504608,-0.559940491171624,-0.0494736376503892,0.243014565322359,0.0104877601350103,-2.716,1.327,0.476308548031824,0.0205560098646201,1.327,"Dendroica_cerulea"
"Dendroica_magnolia_22721667.shp","Dendroica_magnolia","Dendroica magnolia",6570,"Magnolia Warbler","Parulidae","Setophaga","magnolia","Setophaga magnolia","Dendroica","Dendroica magnolia","Dendroica_magnolia","magwar",0.225727298857571,-1.25335712142897,0,-0.0813379722777525,0.00312989045383412,0.233076827387433,0.00207362650577371,0.469,1.145,0.456830581679369,0.00406430795131648,1.145,"Dendroica_magnolia"
"Dendroica_castanea_22721734.shp","Dendroica_castanea","Dendroica castanea",6600,"Bay-breasted Warbler","Parulidae","Setophaga","castanea","Setophaga castanea","Dendroica","Dendroica castanea","Dendroica_castanea","babwar",0.138108244500283,-1.70854394765966,0.389972873353915,-0.645206122796414,-0.00123885222015927,0.258331922383742,0.000535841800525988,-0.53,3.343,0.506330567872135,0.00105024992903094,3.343,"Dendroica_castanea"
"Dendroica_fusca_22721695.shp","Dendroica_fusca","Dendroica fusca",6620,"Blackburnian Warbler","Parulidae","Setophaga","fusca","Setophaga fusca","Dendroica","Dendroica fusca","Dendroica_fusca","bkbwar",0.195838062708102,-1.70320990897416,0.217322011273649,-0.180291076765539,0.00319670421360033,0.141974826044003,0.00267282546485086,0.255,1.055,0.278270659046246,0.00523873791110768,1.055,"Dendroica_fusca"
"Dendroica_pensylvanica_22721664.shp","Dendroica_pensylvanica","Dendroica pensylvanica",6590,"Chestnut-sided Warbler","Parulidae","Setophaga","pensylvanica","Setophaga pensylvanica","Dendroica","Dendroica pensylvanica","Dendroica_pensylvanica","chswar",0.201834344255514,-1.59298248705474,0.277528010406445,0.110963437273593,-0.0016020374630299,0.167440280216706,0.00389289072620423,-1.207,0.992,0.328182949224745,0.00763006582336028,0.992,"Dendroica_pensylvanica"
"Dendroica_caerulescens_22721673.shp","Dendroica_caerulescens","Dendroica caerulescens",6540,"Black-throated Blue Warbler","Parulidae","Setophaga","caerulescens","Setophaga caerulescens","Dendroica","Dendroica caerulescens","Dendroica_caerulescens","btbwar",0.207993628015423,-1.88816751901207,0.40843137199002,-0.125710001990702,0.00946906778155955,0.0695574842048703,0.0021254712051112,1.536,1.301,0.136332669041546,0.00416592356201795,1.301,"Dendroica_caerulescens"
"Dendroica_pinus_22721719.shp","Dendroica_pinus","Dendroica pinus",6710,"Pine Warbler","Parulidae","Setophaga","pinus","Setophaga pinus","Dendroica","Dendroica pinus","Dendroica_pinus","pinwar",0.598288672858358,-1.30971289515863,0.40843137199002,0.347653627610209,0.169819496742574,0.374244516262401,0.0173984605509225,0.959,0.718,0.733519251874305,0.0341009826798082,0.718,"Dendroica_pinus"
"Dendroica_dominica_22724793.shp","Dendroica_dominica","Dendroica dominica",6630,"Yellow-throated Warbler","Parulidae","Setophaga","dominica","Setophaga dominica","Dendroica","Dendroica dominica","Dendroica_dominica","yetwar",0.182675123688546,-1.47036029222265,0,0.0664856306613215,-0.00501569037656904,0.166031822683568,0.00773054226392229,0.877,0.785,0.325422372459794,0.0151518628372877,0.785,"Dendroica_dominica"
"Dendroica_discolor_22721725.shp","Dendroica_discolor","Dendroica discolor",6730,"Prairie Warbler","Parulidae","Setophaga","discolor","Setophaga discolor","Dendroica","Dendroica discolor","Dendroica_discolor","prawar",0.307414505392035,-1.5157239679175,0.277528010406445,0.0400666640619311,-0.0797099197099197,0.0995694114392585,0.0175730225055639,-1.84,0.553,0.195156046420947,0.0344431241109053,0.553,"Dendroica_discolor"
